bench,model,model_id,skill_mode,agent_success,best_step,best_cycles,baseline_cycles_agent,direct_synth_status,direct_csim_status,direct_cosim_status,direct_cycles,direct_cosim_cycles,speedup_vs_direct_csynth,agent_step_cosim,agent_step_cosim_cycles,steps_attempted,steps_success,elapsed_sec,error
hlsfactory_doitgen,sonnet,claude-sonnet-4-6,skill_on,False,,,,fail,not_run,not_run,,,,,,0,0,10.135,"Gold HLS synthesis failed: ERROR: [SYNCHK 200-43] /home/luo00466/tmp/hls_synth_vn7f_eut/kernel.cpp:18: use or assignment of a non-static pointer '' (this pointer may refer to different memory locations).
ERROR: [HLS 200-70] Synthesizability check failed."
hlsfactory_durbin,sonnet,claude-sonnet-4-6,skill_on,True,flash,61559,115097,pass,pass,pass,115097,176899,1.869702,True,60915,1,1,210.999,
hlsfactory_fdtd_2d,sonnet,claude-sonnet-4-6,skill_on,True,flash,582234,98261801,pass,pass,timeout,98261801,,168.766855,True,582015,1,1,2459.848,
hlsfactory_floyd_warshall,sonnet,claude-sonnet-4-6,skill_on,True,flash,17556122,833976005,pass,pass,timeout,833976005,,47.50343,True,18067361,1,1,4043.147,
hlsfactory_gemm,sonnet,claude-sonnet-4-6,skill_on,True,flash,50258,54298622,pass,pass,timeout,54298622,,1080.397588,True,52348,1,1,2076.947,
hlsfactory_gemver,sonnet,claude-sonnet-4-6,skill_on,True,flash,192356,2715487,pass,pass,pass,2715487,2938796,14.116986,True,192361,1,1,1746.24,
hlsfactory_gesummv,sonnet,claude-sonnet-4-6,skill_on,True,flash,58128,1441873,pass,pass,pass,1441873,1459088,24.805137,True,58871,1,1,380.644,
hlsfactory_gramschmidt,sonnet,claude-sonnet-4-6,skill_on,True,flash,1294464,2270081,pass,pass,timeout,2270081,,1.753684,True,1350351,1,1,3261.537,
hlsfactory_heat_3d,sonnet,claude-sonnet-4-6,skill_on,True,flash,504480,3281841,pass,pass,timeout,3281841,,6.505394,True,509363,1,1,2170.018,
hlsfactory_jacobi_1d,sonnet,claude-sonnet-4-6,skill_on,True,flash,12231,41761,pass,pass,pass,41761,56851,3.414357,True,12139,1,1,187.998,
hlsfactory_jacobi_2d,sonnet,claude-sonnet-4-6,skill_on,True,flash,2918761,3112241,pass,pass,timeout,3112241,,1.066288,True,5101211,1,1,3131.455,
hlsfactory_lu,sonnet,claude-sonnet-4-6,skill_on,True,flash,4718314,134372041,pass,pass,timeout,134372041,,28.478825,True,3325081,1,1,3136.018,
hlsfactory_ludcmp,sonnet,claude-sonnet-4-6,skill_on,True,flash,4772461,10095723,pass,pass,pass,10095723,9426485,2.115412,True,3379675,1,1,2062.435,
hlsfactory_mvt,sonnet,claude-sonnet-4-6,skill_on,True,flash,199397,256922,pass,pass,pass,256922,266254,1.288495,True,210297,1,1,341.185,
hlsfactory_nussinov,sonnet,claude-sonnet-4-6,skill_on,True,baseline,209526121,209526121,pass,pass,pass,209526121,157203939,1.0,,,1,0,1340.736,
hlsfactory_seidel_2d,sonnet,claude-sonnet-4-6,skill_on,True,baseline,132556483,132556483,pass,pass,timeout,132556483,,1.0,,,1,0,1886.85,
hlsfactory_symm,sonnet,claude-sonnet-4-6,skill_on,True,flash,2611272,23241675,pass,pass,timeout,23241675,,8.900519,True,7265301,1,1,3250.127,
hlsfactory_syr2k,sonnet,claude-sonnet-4-6,skill_on,True,flash,222557,33807761,pass,pass,timeout,33807761,,151.906078,True,228128,1,1,2134.363,
hlsfactory_syrk,sonnet,claude-sonnet-4-6,skill_on,True,flash,1066077,31695761,pass,pass,timeout,31695761,,29.731212,False,,1,1,3671.737,
hlsfactory_trisolv,sonnet,claude-sonnet-4-6,skill_on,True,flash,57991,1160161,pass,pass,pass,1160161,1275966,20.00588,True,58194,1,1,305.077,
hlsfactory_trmm,sonnet,claude-sonnet-4-6,skill_on,True,flash,2581431,22598401,pass,pass,pass,22598401,25142463,8.754215,False,,1,1,2668.984,
