track,metric,latency_kind,ch_label,ch_session,ch_model,c2_label,c2_campaign,c2_model,bench,size_family,ch_best,ch_avg,ch_worst,c2_best,c2_avg,c2_worst,ch_latency,c2_latency,ratio_c2_over_ch,winner,ch_dsp,c2_dsp,note
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,gemm_blocked,machsuite_64,2097166,2097166,2097166,1319078,1319078,1319078,2097166,1319078,0.6289812060657096,c2hls,11,8,xml:gemm_blocked_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,gemm_ncubed,machsuite_64,4627,4627,4627,1319080,1319080,1319080,4627,1319080,285.0832072617247,chathls,1408,8,xml:gemm_ncubed_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,gesummv,poly_mini,482,482,482,2344,2344,2344,482,2344,4.863070539419087,chathls,20,8,xml:gesummv_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,matmul,poly_mini,660,660,660,3767,3767,3767,660,3767,5.707575757575758,chathls,19974,96,xml:matmul_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,mvt,poly_mini,1234,1234,1234,5007,5007,5007,1234,5007,4.0575364667747165,chathls,16,4,xml:mvt_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,symm,hlsfactory,311596,311596,311596,50432,50432,50432,311596,50432,0.16185060141978716,c2hls,30,668,xml:kernel_symm_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,syr2k,hlsfactory,394721,394721,394721,201714,392034,587234,394721,201714,0.5110293093096137,c2hls,38,22,xml:kernel_syr2k_csynth.xml
native_vs_chathls_poly,best,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,syrk,hlsfactory,164241,388881,619281,172975,363295,558495,164241,172975,1.0531779519121292,chathls,11,11,xml:kernel_syrk_csynth.xml
native_vs_chathls_poly,cosim,cosim,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,2mm,hlsfactory,7582,7582,7582,54794,54794,54794,38695,54763,1.4152474479906965,chathls,1116,772,cosim_kernel_runtime
native_vs_chathls_poly,cosim,cosim,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,atax,poly_mini,915,915,915,1921,1921,1921,1265,2015,1.592885375494071,chathls,16,337,cosim_kernel_runtime
native_vs_chathls_poly,cosim,cosim,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,bicg,poly_mini,843,843,843,1934,1934,1934,4113,2034,0.49452954048140046,c2hls,16,153,cosim_kernel_runtime
native_vs_chathls_poly,cosim,cosim,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,covariance,poly_mini,4926,10750,17022,8310,8674,9066,74630,8870,0.11885300817365671,c2hls,8,128,cosim_kernel_runtime
native_vs_chathls_poly,cosim,cosim,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,gemm_blocked,machsuite_64,2097166,2097166,2097166,1319078,1319078,1319078,1187910,1319202,1.1105235245094325,chathls,11,8,cosim_kernel_runtime
native_vs_chathls_poly,cosim,cosim,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,gesummv,poly_mini,482,482,482,2344,2344,2344,4339,3497,0.805946070523162,c2hls,20,8,cosim_kernel_runtime
native_vs_chathls_poly,cosim,cosim,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,mvt,poly_mini,1234,1234,1234,5007,5007,5007,2979,5103,1.7129909365558913,chathls,16,4,cosim_kernel_runtime
native_vs_chathls_poly,cosim,cosim,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+skills,batch_parallel_chathls_fd_ds_rag2_20260717_195140_rag2_skills,DeepSeek,syr2k,hlsfactory,394721,394721,394721,201714,392034,587234,5232710,384713,0.07352079515203404,c2hls,38,22,cosim_kernel_runtime
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,2mm,hlsfactory,7582,7582,7582,25322,25322,25322,7582,25322,3.339752044315484,chathls,1116,1330,xml:kernel_2mm_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,3mm,hlsfactory,7018,7018,7018,90518,90518,90518,7018,90518,12.89797663151895,chathls,2860,881,xml:kernel_3mm_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,atax,poly_mini,915,915,915,1859,1859,1859,915,1859,2.031693989071038,chathls,16,336,xml:atax_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,bicg,poly_mini,843,843,843,982,982,982,843,982,1.1648873072360617,chathls,16,16,xml:bicg_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,covariance,poly_mini,4926,10750,17022,2937,5114,6290,17022,6290,0.3695217953236987,c2hls,8,44,xml:covariance_csynth.xml
